"time","outlook","currentValue","bestBid","bestOffer","buySideLiquidity","sellSideLiquitity","buySideDepth","sellSideDepth","buySideDepthNearTop","sellSideDepthNearTop","midPrice","lastTradedPrice"
"0","Stable","2000","1500","2500","500","500","500","500","500","500","2000","0"
"1","Stable","2374","1500","2500","500","500","500","500","500","500","2000","0"
"2","CrossedFalling","2736","1500","1500","533","1096","533","24","533","1096","1500","1510"
"3","CrossedFalling","3071","1500","1500","533","2492","533","1920","533","2492","1500","2118"
"4","Stable","3369","1500","37500","591","572","533","572","533","572","19500","3071"
"5","CrossedFalling","3618","0","0","0","0","0","0","0","0","0","37500"
"6","CrossedFalling","3809","3618","0","0","0","0","0","0","0","1809","1809"
"7","CrossedFalling","3937","3809","0","0","0","0","0","0","0","1904","3713"
"8","CrossedFalling","3996","3937","0","0","0","0","0","0","0","1968","3873"
"9","CrossedStable","3984","3996","0","0","0","0","0","0","0","1998","3966"
"10","CrossedRising","3902","3996","3996","4587","528","0","528","0","528","3996","3966"
"11","Stable","3752","0","3902","0","650","0","122","0","650","1951","3949"
"12","CrossedFalling","3541","0","0","1864","3582","1864","2880","1864","3582","0","3949"
"13","Falling","3274","3541","3902","1872","702","8","122","8","702","3721","1770"
"14","Falling","2963","3274","3541","10044","1728","10044","1026","10044","1728","3407","3541"
"15","CrossedRising","2618","3274","3274","13214","2014","10044","286","10044","2014","3274","3541"
"16","CrossedRising","2250","3274","3274","17030","2014","13860","286","13860","2014","3274","2946"
"17","CrossedRising","1874","3274","3274","21466","2014","18296","286","18296","2014","3274","2762"
"18","CrossedRising","1502","3274","3274","25902","2014","22732","286","22732","2014","3274","2574"
"19","CrossedRising","1148","3274","3274","30338","2014","27168","286","27168","2014","3274","2388"
"20","CrossedRising","824","3274","3274","34774","2014","31604","286","31604","2014","3274","2211"
"21","CrossedRising","542","3274","3274","39210","2014","36040","286","36040","2014","3274","2049"
"22","CrossedRising","311","3274","3274","43646","2014","40476","286","40476","2014","3274","1908"
"23","CrossedRising","140","3274","3274","48082","2014","44912","286","44912","2014","3274","1792"
"24","CrossedRising","35","3274","3274","52518","2014","49348","286","49348","2014","3274","1707"
"25","CrossedRising","0","3274","3274","56954","2014","53784","286","53784","2014","3274","1654"
"26","CrossedRising","35","3274","3274","61390","2014","58220","286","58220","2014","3274","1637"
"27","CrossedRising","140","3274","3274","65826","2014","62656","286","62656","2014","3274","1654"
"28","CrossedRising","311","3274","3274","70262","2014","67092","286","67092","2014","3274","1707"
"29","CrossedRising","542","3274","3274","74698","2014","71528","286","71528","2014","3274","1792"
"30","CrossedRising","824","3274","3274","79134","2014","75964","286","75964","2014","3274","1908"
"31","CrossedRising","1148","3274","3274","83570","2014","80400","286","80400","2014","3274","2049"
"32","CrossedRising","1502","3274","3274","88006","2014","84836","286","84836","2014","3274","2211"
"33","CrossedRising","1874","3274","3274","92442","2014","89272","286","89272","2014","3274","2388"
"34","CrossedRising","2000","3274","3274","96878","2014","93708","286","93708","2014","3274","2574"
"35","CrossedRising","2374","3274","3274","101314","2014","98144","286","98144","2014","3274","2637"
"36","CrossedRising","2736","3274","3274","101532","2014","98362","286","98362","2014","3274","2824"
"37","CrossedRising","3071","3274","3274","105968","2014","102798","286","102798","2014","3274","3005"
"38","CrossedFalling","3369","3274","3274","110404","2014","107234","286","107234","2014","3274","3172"
"39","CrossedFalling","3618","3274","3274","110404","6360","107234","4632","107234","6360","3274","3321"
"40","CrossedFalling","3809","3274","3274","110404","10876","107234","9148","107234","10876","3274","3446"
"41","CrossedFalling","3937","3274","3274","110404","10992","107234","9264","107234","10992","3274","3541"
"42","CrossedFalling","3996","3274","3274","110404","11108","107234","9380","107234","11108","3274","3605"
"43","CrossedFalling","3984","3274","3274","110404","15624","107234","13896","107234","15624","3274","3635"
"44","CrossedFalling","3902","3274","3274","110404","15740","107234","14012","107234","15740","3274","3629"
"45","CrossedFalling","3752","3274","3274","110404","15856","107234","14128","107234","15856","3274","3588"
"46","CrossedFalling","3541","3274","3274","110404","20372","107234","18644","107234","20372","3274","3513"
"47","CrossedRising","3274","3274","3274","110404","20488","107234","18760","107234","20488","3274","3407"
"48","CrossedRising","2963","3274","3274","114404","21388","111234","19660","111234","21388","3274","3407"
"49","CrossedRising","2618","3274","3274","110840","21388","107670","19660","107670","21388","3274","3118"
