"time","type","buySideTrader","sellSideTrader","size","price","penalty"
"2","Trade","intermediary","hfTrader","24","2118",""
"2","Trade","smallTrader","hfTrader","0","1510",""
"2","Trade","opportunisticTrader","hfTrader","0","1510",""
"2","Penalty","smallTrader","","","","2"
"2","Penalty","smallTrader","","","","2"
"2","Penalty","smallTrader","","","","2""3","Bid","intermediary","","440","3071",""
"3","Bid","intermediary","","440","3071",""
"3","Bid","intermediary","","440","3071",""
"3","Offer","hfTrader","","960","1500",""
"3","Offer","hfTrader","","960","1500",""
"3","Offer","hfTrader","","960","1500",""
"3","Offer","fundamentalBuyer","","200","1500",""
"3","Offer","fundamentalBuyer","","200","1500",""
"3","Bid","fundamentalSeller","","107","3071",""
"3","Bid","fundamentalSeller","","107","3071",""
"3","Bid","opportunisticTrader","","58","3071",""
"3","Bid","opportunisticTrader","","58","3071",""
"3","Bid","opportunisticTrader","","58","3071",""
"3","Bid","opportunisticTrader","","58","3071",""
"3","Sell","smallTrader","","110","",""
"3","Sell","smallTrader","","110","",""
"3","Sell","smallTrader","","110","",""
"3","Sell","smallTrader","","110","",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","58","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","58","2285",""
"3","Trade","opportunisticTrader","hfTrader","58","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","smallTrader","58","3071",""
"3","Trade","opportunisticTrader","smallTrader","58","3071",""
"3","Trade","opportunisticTrader","hfTrader","58","2285",""
"3","Trade","opportunisticTrader","hfTrader","58","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","intermediary","hfTrader","440","2285",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"3","Trade","intermediary","hfTrader","440","2118",""
"3","Trade","intermediary","fundamentalSeller-1","440","2618",""
"3","Trade","intermediary","hfTrader","24","2118",""
"3","Trade","smallTrader","hfTrader","0","1510",""
"3","Trade","opportunisticTrader","hfTrader","0","1510",""
"3","Penalty","smallTrader","","","","6194672375875764226"
"3","Penalty","smallTrader","","","","6194672375875764226"
"3","Penalty","smallTrader","","","","6194672375875764226""4","Sell","intermediary","","11080","",""
"4","Sell","intermediary","","11080","",""
"4","Sell","intermediary","","11080","",""
"4","Bid","hfTrader","","1720","1500",""
"4","Bid","hfTrader","","1720","1500",""
"4","Bid","hfTrader","","1720","1500",""
"4","Sell","fundamentalBuyer","","8000","",""
"4","Sell","fundamentalBuyer","","8000","",""
"4","Buy","fundamentalSeller","","12120","",""
"4","Buy","fundamentalSeller","","12120","",""
"4","Sell","opportunisticTrader","","4380","",""
"4","Sell","opportunisticTrader","","4380","",""
"4","Sell","opportunisticTrader","","4380","",""
"4","Sell","opportunisticTrader","","4380","",""
"4","Sell","smallTrader","","1280","",""
"4","Sell","smallTrader","","1280","",""
"4","Sell","smallTrader","","1280","",""
"4","Sell","smallTrader","","1280","",""
"4","Trade","fundamentalBuyer-1","intermediary","500","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","opportunisticTrader","intermediary","58","52",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"4","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
"4","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"4","Trade","opportunisticTrader","fundamentalSeller","21","2118",""
"4","Trade","intermediary","hfTrader","440","2118",""
"4","Trade","intermediary","fundamentalSeller-1","440","2618",""
"4","Trade","intermediary","hfTrader","24","2118",""
"4","Trade","smallTrader","hfTrader","0","1510",""
"4","Trade","opportunisticTrader","hfTrader","0","1510",""
"4","Trade","fundamentalBuyer-1","intermediary","500","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","intermediary","intermediary","11","1500",""
"4","Trade","opportunisticTrader","intermediary","58","52",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","smallTrader","58","3071",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","opportunisticTrader","hfTrader","58","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","fundamentalSeller","fundamentalBuyer","107","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","intermediary","hfTrader","440","2285",""
"4","Trade","opportunisticTrader","fundamentalBuyer","26","2118",""
